channel,week_number,week_date_range,budget_usd,total_leads,cpl
Social_Media,14,Aug 5-11,900,70,12.85714286
Social_Media,15,Aug 12-18,1140,78,14.61538462
Social_Media,16,Aug 19-25,1127,51,22.09803922
Social_Media,17,Aug 26-Sept1,1012.47,44,23.01068182
Social_Media,18,Sept 2-8,826.9,36,22.96944444
Social_Media,19,Sept 9-15,806.46,49,16.45836735
Social_Media,20,Sept 16-22,789.43,36,21.92861111
Social_Media,21,Sept 23-29,720,33,21.81818182
Social_Media,22,Sept 30- Oct6,984,52,18.92307692
Social_Media,23,Oct 7-13,978,39,25.07692308
Social_Media,24,Oct 14-20,962,28,34.35714286
Social_Media,25,Oct 21-27,977,28,34.89285714
Social_Media,26,Oct 28- Nov3,876,16,54.75
Social_Media,27,Nov 4-10,939,27,34.77777778
Social_Media,28,Nov 11-17,1115,29,38.44827586
Social_Media,29,Nov 18-24,1416,40,35.4
Social_Media,30,Nov 25- Dec1,1594,34,46.88235294
Social_Media,31,Dec 2-8,1151,14,82.21428571
Social_Media,32,Dec 9-15,1129,10,112.9
Social_Media,33,Dec 16-22,1125,17,66.17647059
Social_Media,34,Dec 23-29,1103,13,84.84615385
Social_Media,35,Dec 30-Jan 5,772.41,6,128.735
Social_Media,36,Jan 6- 12,948.48,15,63.232
Social_Media,37,jan 13-19,955,20,47.75
Social_Media,38,Jan 20-26,900.24,28,32.15142857
Social_Media,39,Jan 27- Feb2,595.35,12,49.6125
Social_Media,40,Feb 3-9,4426.06,40,110.6515
Social_Media,41,Feb 10-16,4706.2,32,147.06875
Social_Media,42,Feb 17-23,4375.02,40,109.3755
Social_Media,43,Feb 24-March 2,2161.7,15,144.1133333
Social_Media,44,March 3-9,2296.02,15,153.068
Social_Media,45,March 10-16,408.15,3,136.05
Social_Media,46,March 17-23,3512.75,22,159.6704545
Social_Media,47,March 24-30,4381,70,62.58571429
Social_Media,48,March 31- April 6,1616.55,21,76.97857143
