channel,week_number,week_date_range,country,status,lead_count
Google Search,13,Aug 5-11,Lebanon,Unreachable,0.0
Google Search,14,Aug 12-18,Lebanon,Unreachable,1.0
Google Search,25,Oct 28-Nov 3,Lebanon,Unreachable,0.0
Google Search,26,Nov 4-10,Lebanon,Unreachable,2.0
Google Search,28,Nov 18-24,Lebanon,Unreachable,1.0
Google Search,29,Nov 25-Dec1 ,Lebanon,Unreachable,1.0
Google Search,30,Dec 2-8,Lebanon,Unreachable,3.0
Google Search,32,Dec 16-22,Lebanon,Unreachable,1.0
Google Search,33,Dec 23-29,Lebanon,Unreachable,0.0
Google Search,34,Dec 30 - Jan 5 ,Lebanon,Unreachable,0.0
Google Search,35,Jan 6-12,Lebanon,Unreachable,1.0
Google Search,36,March 10-16 ,Lebanon,Unreachable,1.0
Google Search,37,March 17-23,Lebanon,Unreachable,0.0
Google Search,38,March 24-30 ,Lebanon,Unreachable,0.0
Google Search,38,March 31- April 6 ,Lebanon,Unreachable,0.0
Google Search,13,Aug 5-11,KSA,,0.0
Google Search,14,Aug 12-18,KSA,,0.0
Google Search,25,Oct 28-Nov 3,KSA,,0.0
Google Search,26,Nov 4-10,KSA,,1.0
Google Search,28,Nov 18-24,KSA,,0.0
Google Search,29,Nov 25-Dec1 ,KSA,,0.0
Google Search,30,Dec 2-8,KSA,,0.0
Google Search,32,Dec 16-22,KSA,,0.0
Google Search,33,Dec 23-29,KSA,,0.0
Google Search,34,Dec 30 - Jan 5 ,KSA,,0.0
Google Search,35,Jan 6-12,KSA,,0.0
Google Search,36,March 10-16 ,KSA,,0.0
Google Search,37,March 17-23,KSA,,0.0
Google Search,38,March 24-30 ,KSA,,0.0
Google Search,38,March 31- April 6 ,KSA,,0.0
Google Search,13,Aug 5-11,UAE,,0.0
Google Search,14,Aug 12-18,UAE,,0.0
Google Search,25,Oct 28-Nov 3,UAE,,0.0
Google Search,26,Nov 4-10,UAE,,0.0
Google Search,28,Nov 18-24,UAE,,0.0
